embedding-shard:v1	797b70c4edf85907fe0a49eb85811256f65fa0f7bf52166b147fd16be2be4662	384
doc:v1:51cfc35e664e5cf55bb0dc253f865aef33c538ad92a8e29d2ca32e57ff2bc41a	0.0661554262,0.0836371407,0.0230359323,0.0801540688,0.0637847036,-0.0517133921,0.0107446164,-0.0726928711,0.0627233163,0.0231763944,-0.00979883783,-0.0343292728,0.0596261993,-0.0250466932,0.000124447281,0.000480323361,-0.0118148252,-0.00908045191,-0.00482966565,-0.0246836636,-0.0141326506,0.0919232965,0.0963680968,0.0524713062,0.0133550297,-0.0614196658,-0.0236487258,-0.00287793553,0.0204847399,-0.103672951,-0.0173325799,-0.00131898082,-0.0689340606,0.00746642472,-0.00826598983,-0.0427229591,0.0922863632,-0.0644174367,-0.0216938481,0.0107214209,-0.00259236735,0.0407040231,-0.0298965592,-0.0427360199,-0.0563079081,-0.0463166237,-0.0578065999,0.00886001717,0.0817176625,-0.0916539729,-0.0657249242,-0.0852417648,-0.0737235621,-0.0458318517,-0.00821967237,0.0383728035,0.0233816933,-0.0836432427,0.0507688001,0.037352521,0.0550617054,0.00460090721,0.0234300531,0.00508460123,0.0842523724,-0.00487672584,-0.0464480296,-0.0901499838,0.0527760424,0.0194478128,-0.00514411554,-0.0293584075,0.0386374258,-0.0470639803,-0.0871458203,-0.0458750352,0.0381533988,0.055600971,0.000856208731,0.0279189125,0.013436594,-0.0203144588,-0.0322068669,0.0406824686,0.00181326212,-0.0112518519,0.043412406,0.0431365967,-0.013611543,0.0504636206,-0.0145007093,-0.0862190276,-0.0373616479,0.036115814,-0.0219737776,-0.0778564811,0.124283299,-0.0250239931,0.0424371921,0.0188082308,0.0703627169,-0.0353844017,-0.00575122703,0.016839182,-0.00490146922,0.0222253315,-0.0564386658,0.0473272204,-0.0477398671,0.0581041873,-0.0511492305,0.0124503598,-0.01010626,0.0993980765,-0.0396687612,-0.0239537451,-0.0446272455,-0.0299671683,-0.00833340082,0.0662111193,0.0749272183,0.0307607073,0.000387667358,-0.048107598,0.094229199,0.0583014973,0.0217818674,-4.4617317e-33,0.116841413,-0.0213499013,0.016681632,-0.0304594617,0.0380002521,-0.0304583814,0.0541746207,0.0397970565,-0.0426958501,0.0150424177,-0.0479635186,-0.0352663994,-0.0677707717,-0.0155696431,-0.00372193893,0.000764144119,-0.0209717024,-0.00589621393,0.00230582012,-0.00325805135,0.0250242315,0.0308219288,-0.0298183765,0.000724199112,0.0851991922,-0.0169740357,-0.14896898,-0.0786507428,-0.0292951148,0.0650330186,-0.00771090481,-0.0503317304,0.00284835114,-0.000546936702,0.00412411522,-0.0311482269,0.029472569,-0.0658015534,0.0547221676,-0.0556285158,0.0663050488,-0.00456057675,-0.0409304202,-0.0958143398,0.00294039794,0.0117030609,0.0158892255,0.0340871401,0.0272345468,0.0856534168,0.0141574694,0.0149308238,0.00514685689,-0.0644404367,-0.0262725055,0.0745476112,0.118876383,-0.0432798602,-0.0907105431,0.0495379195,0.022543788,-0.0094848061,0.0251754988,-0.079948172,0.0955412462,-0.0390402041,-0.0403886996,-0.00738563202,0.000296386483,-0.077879034,0.00342715019,0.00909934007,0.0195045117,-0.0185569506,0.0325343274,-0.0135629708,-0.000772335508,0.0190949962,0.0564412512,-0.0615325496,0.0558538064,0.0406092256,-0.0302099306,0.00788716227,0.0516702421,0.0690056235,0.0138833635,0.030675184,-0.108740903,0.0398174785,-0.0146394381,0.0662187785,-0.0303854067,-0.110653177,-0.00683660433,1.57206831e-33,0.0725131929,0.0694454312,0.00125598267,0.0558484867,-0.0228244364,0.0315485299,-0.0505250357,0.0612391382,-0.0579557791,0.00323792058,-0.0158714298,0.0886495933,0.0338147841,-0.0178745296,-0.00927762128,-0.0527536571,0.142545089,-0.0590792112,-0.0242867433,0.0109983468,-0.0432245843,-0.00659975596,0.0481441319,-0.0591448657,0.0226696003,-0.0308360606,0.067252472,0.0683656037,0.00771541148,-0.063782692,0.0147085218,0.0273493454,0.0593132861,-0.0302514546,0.0034517087,-0.0820827261,-0.078836076,-0.0261068977,0.0251493137,-0.068421416,-0.0246835575,0.0153501965,-0.0247594863,-0.0483914614,0.029144099,0.062104322,-0.0166637041,0.0528328195,0.0642978996,0.0607843027,0.0949383825,0.0304892696,0.0326172225,0.0705149695,0.0203903746,0.021739997,-0.00606743945,-0.105254732,0.0575734191,-0.0142748822,0.037171144,0.0418822728,-0.0422401093,-0.0808655769,0.00423133001,-0.00971353892,-0.0548688583,0.114312425,0.0902200788,-0.0684444308,0.0833215415,0.0281913765,-0.046320606,-0.0325539783,-0.0175143257,0.0896928906,-0.0400344506,-0.0342637524,0.026361838,0.0247152466,0.0256951433,0.0677737221,0.0312283654,-0.057636451,0.039540723,0.0500003323,-0.0196802113,-0.0216776729,0.0219231602,0.0834323391,-0.00970817171,0.031118976,0.0220580064,-0.0839358345,-0.0237980466,-1.54867017e-08,-0.0541449785,-0.000172986256,-0.00527716195,-0.0531877428,0.0578611344,-0.0212286226,0.0627162904,-0.00855504442,0.0194544625,0.0526729971,-0.00692288578,-0.0330946781,0.0468597636,0.0978794843,-0.0404832102,-0.0103363395,0.0484231226,-0.0104951272,-0.0418244861,-0.0167569183,-0.0850788653,0.0367157534,-0.105207644,0.00432346296,0.0874958262,-0.0118127856,-0.0976250023,-0.0726648718,0.0866446719,0.0509122014,-0.06076359,0.0172744468,-0.076771237,0.0349034779,-0.155344337,-0.0190762524,0.0906176567,-0.022688821,-0.013595853,-0.0699113458,0.0921297297,-0.0505127758,-0.0195566546,-0.0255659632,-0.0169870146,0.0396079011,-0.00103711174,-0.113448702,-0.117071785,-0.0602211393,0.00581215834,0.00783049595,-0.00530522829,0.0417395942,-0.0274619553,-0.00208967645,0.0350299217,-0.0466630906,-0.0815805271,-0.0265698396,0.0489110947,-0.0211021528,-0.0336844958,0.0528680533
doc:v1:4e709149be341cf33211d1d8d55c45e45417878331731f8717b59c8c07f3ef45	-0.135366738,0.102365814,0.0258507188,0.0204782449,0.0123951985,-0.00588908559,-0.0126960753,-0.01599277,0.0196168926,-0.038845662,0.0314208418,0.028189756,0.0669573545,-0.0596571453,0.0217787456,-0.0570090674,0.00859141722,-0.018180728,0.0189117417,-0.0455186479,-0.00631483924,0.0475668348,0.0441143215,-0.00773867453,-0.00414858945,-0.00590141816,0.0423686765,0.107151076,-0.0565605573,-0.126116484,-0.0566064641,0.0293509327,-0.0817495883,0.0135994842,-0.0436989591,-0.0302661788,0.0436589047,0.0272585619,-0.00754320715,-0.0340988636,-0.0787119642,-0.0826353282,0.00619201036,0.0466770157,0.0228270236,-0.00858967379,-0.00399874151,-0.0892588571,0.0337075032,-0.0207653027,0.0137808723,-0.109282143,-0.0131758424,0.0120635219,0.0286594201,0.00455827732,-0.0146482959,-0.014661666,0.0216614977,0.0573056005,0.0277990475,-0.00697756931,0.0131714959,0.029412495,-0.0261605699,-0.0861133933,0.036551211,-0.0390113518,-0.048840221,-0.0346210636,0.0649207607,-0.0520148575,0.0284776073,-0.0377102941,-0.0350477323,-0.0134018064,0.0338693894,0.107529029,-0.00618417235,0.00440518744,-0.0216340329,0.00564824464,-0.0509256534,0.0392963588,0.0518421493,0.00644139294,0.0175393317,-0.0708536059,-0.0317054503,0.0883269385,-0.0423869118,0.0104738204,0.0117716603,0.0221151356,-0.0629527345,0.0369844511,0.025952667,0.00932885986,0.104295157,0.0538678914,0.0570897162,0.067172043,0.0855405033,0.0444280729,-0.0617730096,-0.0305734966,-0.0336637422,0.0898543,-0.00145903346,-0.0714835003,0.0574778281,0.00937408209,-0.099186644,-0.00585407298,-0.0585074201,0.0244091451,-0.0586095341,0.0280814655,0.0674313679,0.100027785,0.0251823422,-0.0109864753,0.0231481325,-0.0132042291,-0.0188638233,0.0126771107,-0.033314582,-4.25003436e-33,-0.0563319512,0.0408659577,0.0184578132,0.0101568298,-0.0218772218,0.0398756675,0.00539435307,0.0361299701,-0.0274561755,-0.0350827873,-0.01581694,0.0407596603,0.0171965435,0.0381575674,0.0232800152,-0.0768789276,-0.156779036,-0.0474923998,-0.0277986098,-0.0199067891,0.0813601688,0.0310813468,0.0349564217,-0.0130835297,0.0300818738,0.0332864411,-0.00991883315,0.0110673849,-0.0978677422,0.0439615548,0.00404757634,0.0444260202,0.00654017925,0.0353814662,-0.0789651275,-0.0286711622,0.0728372484,-0.0839777291,0.0371451415,0.00617385656,0.0628469959,-0.0253105611,-0.139804259,-0.010237705,0.029078491,0.0408621319,0.0532578155,-0.104349472,0.0389413424,-0.023428658,-0.0459328443,-0.0479726195,0.106159389,-0.0289767981,-0.0640203878,0.130433947,0.0109780328,0.0484186783,0.0204262082,-0.0162331704,0.0183502752,0.12153206,0.0256221108,-0.0029129996,0.0511451811,0.0325665399,0.0443588383,-0.0425510891,-0.0390856452,0.0558660403,-0.0224019047,-0.0326334126,-0.00861931313,-0.0460735187,0.0780058205,-0.0352409594,-0.138404459,0.105487958,-0.0424246453,-0.116177678,-0.0429472402,-0.023049321,0.0018817191,0.0478902571,0.111591324,0.0262120143,-0.0219238903,0.0184767935,0.0431510247,0.0714023784,0.04857108,0.0574461967,-0.0348584577,-0.0272007473,0.0489847548,1.68569416e-33,0.0255352054,0.0636015534,0.0173246134,0.0494835414,0.000196095905,-0.0164968725,-0.00876417477,0.0306706,-0.0458662845,0.053577017,0.0730837062,0.0125818467,-0.0093062073,-0.0900222734,0.0239779428,-0.0240370259,-0.015274765,-0.0783401355,0.0337698199,0.0278597176,0.050023362,0.0203891024,0.061102923,-0.0288739689,0.0646174476,-0.0215581451,0.0384695269,0.0854191259,0.0218327437,-0.0226546116,-0.0123733729,-0.0402205288,0.030293854,0.0587352067,-0.0434364006,-0.0565235727,0.00894187763,0.021172436,0.0348462686,0.0146282855,-0.0410808437,-0.0590256676,-0.00684047444,0.0966296196,0.0335398801,-0.037886925,-0.0405955724,-0.0487587415,0.0572751351,-0.0154252695,0.111891195,-0.00860716216,0.00291524618,0.0426287577,-0.0460336208,-0.0335356444,0.0740101188,-0.0104793226,0.0608259253,-0.00697788596,0.0532420389,-0.0290633235,-0.000717247312,-0.0817791745,0.0192050673,-0.0775799006,0.0246354733,0.000113497888,0.04217178,-0.023484854,0.0246130954,-0.00583477179,-0.0681583136,-0.0739010572,-0.0181742106,0.015032527,-0.0129733719,-0.0366929322,0.00505156117,-0.0471862815,0.0294382591,0.0317337923,0.00725511787,0.0187697671,0.0568646379,0.00202629738,-0.0278452877,0.0436852425,0.0332141183,-0.0450890511,0.0238871444,0.0423292965,-0.0591488108,0.0067056329,-0.127238631,-1.71125336e-08,0.00521790003,0.0529015027,-0.00438370835,-0.000645510736,0.114570588,-0.078201592,-0.0440466702,0.0397363268,0.0310558155,-0.0218738969,0.0246685166,0.0196062103,0.124463491,0.0420191661,-0.0296543129,-0.00750598963,0.000216284025,0.0828609914,-0.0306800157,0.0744887218,-0.0554506034,0.0173388422,-0.0631185472,0.0628869161,0.0520207547,-0.0244169254,-0.0320710093,-0.0721968412,0.0615099855,-0.0700938925,-0.139839381,0.01536706,0.0337049589,0.033115156,-0.106236465,-0.0727923736,-0.0121965846,-0.0407491513,0.0194935352,-0.107358173,0.0522412062,-0.119024478,0.00594867254,-0.0246332195,-0.0722244009,-0.00939346757,-0.0555977821,-0.140046805,-0.0826750323,-0.00373631087,0.0329265669,0.0150560793,-0.0166275706,0.0392155722,-0.034150362,0.0237631164,-0.0280252639,-0.0197266452,-0.0139869032,-0.0325538851,-0.001767857,0.0355710648,0.0407425091,0.0110537596
doc:v1:8b3b4f2c87828993b1d575c4e94f5ea90dcadfb112395994c170fb4dc4a6bb8e	-0.0257936139,0.0140189379,0.00281596137,-0.00277230074,0.0626856908,0.0226318967,-0.0391562916,-0.0264016874,-0.0475013778,0.0325847529,-0.122366741,0.174461946,-0.0199913774,-0.0764956325,-0.0724783167,0.0532910563,-0.0955079347,0.00185606966,-0.0252520069,-0.00565959653,0.0109525276,0.0307653379,-0.00671610422,-0.0115680387,-0.0344620831,0.03930052,-0.037992686,-0.0923282504,-0.0331419557,0.0175913107,-0.0252935104,-0.0550088696,-0.125253573,-0.0447369665,0.0326797105,0.101714715,-0.0309722312,-0.0529179946,-0.00992385205,-0.00519111007,-0.0426981747,0.0470865481,-0.122037023,0.0527424887,-0.0740044937,0.0452402271,0.0471778028,-0.0676625669,0.0234880224,0.0882756338,0.00167677575,-0.0138361417,0.0192452669,-0.0465021096,0.0614196248,0.00731693348,0.00564506557,-0.0507542342,-0.0221195426,0.0746133924,0.0686119273,-0.0330262072,-0.0791334286,0.0323795713,0.0812483802,0.0889766812,0.00724951504,-0.0266231541,0.011501031,-0.053239435,-0.062093582,-0.0440417193,0.0624470338,-0.00468864152,0.0592639036,0.0125042135,-0.0581465103,-0.0425314941,0.028513236,0.0393426865,-0.0590929836,-0.013545678,-0.0127390083,-0.0118139843,-0.0408605412,0.0896890536,0.0502634645,0.0856873468,0.0907225311,0.042084448,0.0442160852,0.0492806323,0.0306212232,0.0223782808,-0.0353732221,-0.0129988147,0.0551344939,0.0222479869,0.0190961491,0.0227360092,-0.00300637586,0.0463192239,0.0733804777,-0.0974856839,-0.051323507,-0.0173224248,-0.049601309,0.0411761589,-0.08186277,-0.0233883299,0.0616917871,-0.0390549973,-0.01846301,0.0391883664,0.00075497682,0.0879602954,0.0952734947,0.00946359895,-0.00226582144,0.0112077603,0.0296633318,0.0566185378,0.0623174161,-0.0652722567,-0.0414132439,0.0407731272,-0.0571495481,-6.94331893e-33,-0.0317961536,-0.083588101,-0.0230604243,0.0356447883,0.0494822562,-0.0521198101,0.000803202391,0.0820495635,0.00540341437,0.0203610081,0.0325249955,-0.0543592758,-0.00101660227,-0.066166833,-0.0265335888,0.0462291129,0.108601943,-0.00499938289,-0.103421085,0.0341331474,0.00896700379,-0.0151201487,0.0461874232,0.0700330958,0.0190747306,-0.0277919229,0.00652984111,-0.0465415418,-0.00292902556,-0.0114374254,-0.0347121023,-0.05330614,0.0785480812,0.060663797,-0.0184999723,0.0628693849,-0.0349549241,0.0648515224,0.0108482642,-0.127383083,0.0417942852,-0.00295256125,-0.01715477,0.0394525193,0.121899948,-0.0957632288,0.0908618495,0.00432225736,-0.0602857023,-0.065900445,0.0480142087,0.0534715764,-0.0921583697,-0.0378857404,0.0217786934,0.0701305941,0.0133032557,0.0907376185,0.0149916895,-0.0662021339,0.0911322758,-0.0103873275,0.0784879923,-0.0349812992,0.0701207668,-0.0210390706,-0.0424845591,-0.0426560454,-0.025450578,-0.0317429528,0.056766998,-0.0121820029,-0.030930398,0.0533361286,0.0146332569,0.0966498032,-0.0668276995,-0.0146056432,0.0263605863,-0.000780096103,0.153979927,0.00639345404,0.0171897598,-0.0314813852,0.00779262651,-0.0243786946,0.0253874026,0.0431822464,-0.0392672196,0.0407427922,-0.0892228633,0.0233019907,-0.0513882302,0.00902895536,0.0311890393,3.13617485e-33,0.0122945262,-0.093827121,-0.024961818,-0.0103385737,-0.0874046385,0.00626500091,-0.0597893782,-0.0510401502,-0.0618472621,0.0061864336,0.0310764406,-0.0343393981,-0.048571147,0.0155345257,0.00883170497,-0.00919177942,0.0114558227,0.012782013,-0.0522552766,0.055633869,-0.010829743,-0.00122373085,0.020592792,0.0657081455,0.00226024608,-0.0010751948,-0.100952506,-0.0396090634,0.072445713,0.00238177623,-0.0267483443,-0.0342195258,0.0225991309,-0.0417599641,0.052452147,-0.00621882221,-0.032136973,-0.0378317125,0.0372923128,-0.00482314685,0.0659321249,0.0646114647,0.00863357168,-0.11978998,0.0515385717,-0.0571387298,-0.0376472622,-0.0185625833,-0.0601961613,-0.11214792,0.0244525671,-0.0579099022,0.0179054569,-0.0743122101,0.0593899377,0.0303191207,0.0355711356,-0.0453228094,-0.0509436466,-0.0617071427,0.0191578809,-0.048163984,0.0359638892,0.0632552579,-0.0237441119,-0.0318623707,0.0417649634,0.0160532743,-0.0167140868,-0.033550784,0.0350648202,-0.0124286087,0.0179511029,0.0357249714,-0.0748763159,0.0227471776,0.061228808,0.0288437214,0.0259790085,0.00533167133,0.00336438161,0.0332244374,-0.0309720412,0.075831078,0.0850662217,-0.00552681694,0.0601964369,-0.0189995263,-0.00157792156,0.048042722,0.00657501537,0.0163450055,-0.067767702,-0.00232864171,-0.00844655558,-2.10596465e-08,-0.000853335951,0.067670472,-0.0155209899,-0.056308575,0.0168916788,-0.0973836929,0.0579318479,0.0658568591,-0.0245523453,0.0259666983,0.00364435068,-0.0707861856,-0.0346696936,0.0572156124,-0.0524453707,0.0569887385,0.00771767925,-0.0509647913,0.0249714702,-0.012214791,0.0268567745,-0.0860471502,0.0716416538,0.0730226785,-0.049907282,0.042401012,0.0550538488,-0.101968855,0.0734135434,-0.0155859739,-0.0279572681,0.0104557946,-0.0140448604,-0.0654191598,-0.0151895592,0.0508962907,0.116470844,-0.0693465322,-0.0590804927,0.108680397,0.0136934733,-0.0239658467,0.0120958937,-0.0164489225,0.0226896796,-0.027467642,0.0484643653,0.0915492699,-0.0379348211,0.0458434895,0.0285722241,-0.00538360188,-0.0196825713,-0.0362695009,-0.0683754385,-0.0445457399,0.0176022295,-0.0197226554,0.00592976203,-0.0548638664,-0.024385076,0.0403105021,-0.0395963602,0.00406457344
doc:v1:ec8030bc87ae7ab84a1cb7f16c503cb917861fcbf5cebcf3c7f71218b43d2f08	-0.0257936139,0.0140189379,0.00281596137,-0.00277230074,0.0626856908,0.0226318967,-0.0391562916,-0.0264016874,-0.0475013778,0.0325847529,-0.122366741,0.174461946,-0.0199913774,-0.0764956325,-0.0724783167,0.0532910563,-0.0955079347,0.00185606966,-0.0252520069,-0.00565959653,0.0109525276,0.0307653379,-0.00671610422,-0.0115680387,-0.0344620831,0.03930052,-0.037992686,-0.0923282504,-0.0331419557,0.0175913107,-0.0252935104,-0.0550088696,-0.125253573,-0.0447369665,0.0326797105,0.101714715,-0.0309722312,-0.0529179946,-0.00992385205,-0.00519111007,-0.0426981747,0.0470865481,-0.122037023,0.0527424887,-0.0740044937,0.0452402271,0.0471778028,-0.0676625669,0.0234880224,0.0882756338,0.00167677575,-0.0138361417,0.0192452669,-0.0465021096,0.0614196248,0.00731693348,0.00564506557,-0.0507542342,-0.0221195426,0.0746133924,0.0686119273,-0.0330262072,-0.0791334286,0.0323795713,0.0812483802,0.0889766812,0.00724951504,-0.0266231541,0.011501031,-0.053239435,-0.062093582,-0.0440417193,0.0624470338,-0.00468864152,0.0592639036,0.0125042135,-0.0581465103,-0.0425314941,0.028513236,0.0393426865,-0.0590929836,-0.013545678,-0.0127390083,-0.0118139843,-0.0408605412,0.0896890536,0.0502634645,0.0856873468,0.0907225311,0.042084448,0.0442160852,0.0492806323,0.0306212232,0.0223782808,-0.0353732221,-0.0129988147,0.0551344939,0.0222479869,0.0190961491,0.0227360092,-0.00300637586,0.0463192239,0.0733804777,-0.0974856839,-0.051323507,-0.0173224248,-0.049601309,0.0411761589,-0.08186277,-0.0233883299,0.0616917871,-0.0390549973,-0.01846301,0.0391883664,0.00075497682,0.0879602954,0.0952734947,0.00946359895,-0.00226582144,0.0112077603,0.0296633318,0.0566185378,0.0623174161,-0.0652722567,-0.0414132439,0.0407731272,-0.0571495481,-6.94331893e-33,-0.0317961536,-0.083588101,-0.0230604243,0.0356447883,0.0494822562,-0.0521198101,0.000803202391,0.0820495635,0.00540341437,0.0203610081,0.0325249955,-0.0543592758,-0.00101660227,-0.066166833,-0.0265335888,0.0462291129,0.108601943,-0.00499938289,-0.103421085,0.0341331474,0.00896700379,-0.0151201487,0.0461874232,0.0700330958,0.0190747306,-0.0277919229,0.00652984111,-0.0465415418,-0.00292902556,-0.0114374254,-0.0347121023,-0.05330614,0.0785480812,0.060663797,-0.0184999723,0.0628693849,-0.0349549241,0.0648515224,0.0108482642,-0.127383083,0.0417942852,-0.00295256125,-0.01715477,0.0394525193,0.121899948,-0.0957632288,0.0908618495,0.00432225736,-0.0602857023,-0.065900445,0.0480142087,0.0534715764,-0.0921583697,-0.0378857404,0.0217786934,0.0701305941,0.0133032557,0.0907376185,0.0149916895,-0.0662021339,0.0911322758,-0.0103873275,0.0784879923,-0.0349812992,0.0701207668,-0.0210390706,-0.0424845591,-0.0426560454,-0.025450578,-0.0317429528,0.056766998,-0.0121820029,-0.030930398,0.0533361286,0.0146332569,0.0966498032,-0.0668276995,-0.0146056432,0.0263605863,-0.000780096103,0.153979927,0.00639345404,0.0171897598,-0.0314813852,0.00779262651,-0.0243786946,0.0253874026,0.0431822464,-0.0392672196,0.0407427922,-0.0892228633,0.0233019907,-0.0513882302,0.00902895536,0.0311890393,3.13617485e-33,0.0122945262,-0.093827121,-0.024961818,-0.0103385737,-0.0874046385,0.00626500091,-0.0597893782,-0.0510401502,-0.0618472621,0.0061864336,0.0310764406,-0.0343393981,-0.048571147,0.0155345257,0.00883170497,-0.00919177942,0.0114558227,0.012782013,-0.0522552766,0.055633869,-0.010829743,-0.00122373085,0.020592792,0.0657081455,0.00226024608,-0.0010751948,-0.100952506,-0.0396090634,0.072445713,0.00238177623,-0.0267483443,-0.0342195258,0.0225991309,-0.0417599641,0.052452147,-0.00621882221,-0.032136973,-0.0378317125,0.0372923128,-0.00482314685,0.0659321249,0.0646114647,0.00863357168,-0.11978998,0.0515385717,-0.0571387298,-0.0376472622,-0.0185625833,-0.0601961613,-0.11214792,0.0244525671,-0.0579099022,0.0179054569,-0.0743122101,0.0593899377,0.0303191207,0.0355711356,-0.0453228094,-0.0509436466,-0.0617071427,0.0191578809,-0.048163984,0.0359638892,0.0632552579,-0.0237441119,-0.0318623707,0.0417649634,0.0160532743,-0.0167140868,-0.033550784,0.0350648202,-0.0124286087,0.0179511029,0.0357249714,-0.0748763159,0.0227471776,0.061228808,0.0288437214,0.0259790085,0.00533167133,0.00336438161,0.0332244374,-0.0309720412,0.075831078,0.0850662217,-0.00552681694,0.0601964369,-0.0189995263,-0.00157792156,0.048042722,0.00657501537,0.0163450055,-0.067767702,-0.00232864171,-0.00844655558,-2.10596465e-08,-0.000853335951,0.067670472,-0.0155209899,-0.056308575,0.0168916788,-0.0973836929,0.0579318479,0.0658568591,-0.0245523453,0.0259666983,0.00364435068,-0.0707861856,-0.0346696936,0.0572156124,-0.0524453707,0.0569887385,0.00771767925,-0.0509647913,0.0249714702,-0.012214791,0.0268567745,-0.0860471502,0.0716416538,0.0730226785,-0.049907282,0.042401012,0.0550538488,-0.101968855,0.0734135434,-0.0155859739,-0.0279572681,0.0104557946,-0.0140448604,-0.0654191598,-0.0151895592,0.0508962907,0.116470844,-0.0693465322,-0.0590804927,0.108680397,0.0136934733,-0.0239658467,0.0120958937,-0.0164489225,0.0226896796,-0.027467642,0.0484643653,0.0915492699,-0.0379348211,0.0458434895,0.0285722241,-0.00538360188,-0.0196825713,-0.0362695009,-0.0683754385,-0.0445457399,0.0176022295,-0.0197226554,0.00592976203,-0.0548638664,-0.024385076,0.0403105021,-0.0395963602,0.00406457344
