population	identity	points	duplicates	estimate	low	high	status	reason	peak_vectors	distances
synthetic:heldout-plane	b4e20e42faa7a6e71a3babbec42d133b65b8ce9dec14bfb89f994618730dc59c	32	0	2.356593933	2.052924781	2.746903962	estimate	-	2	992
synthetic:heldout-plane	8958be884c92d65f8eb0d1d1988ff0eab597fb3c0a63ddc14766148b2a764a50	64	0	2.462477026	2.248244708	2.811631530	estimate	-	2	4032
synthetic:heldout-plane	4516c5f32676fcee1d6343d32c76d59018206938fc1ace09c25ecfbd590ecac1	136	0	1.958889403	1.814168564	2.072988171	estimate	-	2	18360
synthetic:heldout-plane	ffa829dbef00b7273b526b6451e459f00646080083b614c53957b3513e99d8b0	136	0	1.958889403	1.826049551	2.026512241	estimate	-	2	18360
synthetic:heldout-plane	bd236fb02edf6f42707dabbc5f7b0ae8f6c43f582c935a8181bf3fc467acb084	136	0	1.958889403	1.888302330	2.114133232	estimate	-	2	18360
synthetic:heldout-plane	cc337f29ef37e7abd9de8117988f9a02432a581636ab07cf945d6fe32de30358	136	0	0.451044304	0.408799726	0.478849334	estimate	-	2	18360
synthetic:heldout-plane:strict-stability	ead109f465916ed820158dbd2779fd3a0670b16571c7e3033f5faaa707b6b385	136	0	1.958889403	1.814168564	2.072988171	abstain	unstable-resampling	2	18360
